"order_detail_id","order_id","product_id","quantity","discount"
1,1,5,3,9.16
2,1,32,2,7.14
3,2,20,1,36.29
4,2,38,1,35.70
5,2,55,2,1.12
6,3,74,5,8.08
7,3,37,4,0.70
8,3,16,5,3.38
9,4,34,2,3.22
10,4,76,1,0.50
11,4,39,1,3.13
12,5,47,5,7.35
13,5,35,1,0.52
14,5,33,2,12.86
15,5,66,3,18.67
16,6,34,4,1.96
17,6,74,4,1.93
18,7,74,5,6.50
19,7,27,3,2.18
20,7,75,2,10.06
21,8,64,1,8.60
22,8,43,3,3.87
23,8,12,5,17.40
24,8,11,1,3.47
25,8,18,1,14.35
26,9,60,5,36.95
27,9,4,5,7.24
28,9,64,5,6.88
29,9,74,1,1.36
30,9,70,1,4.68
31,10,14,5,1.00
32,10,51,3,11.25
33,10,45,1,21.66
34,10,48,2,13.12
35,10,6,1,9.34
36,11,56,1,14.57
37,11,47,4,21.90
38,11,9,1,8.33
39,11,15,3,5.23
40,12,30,3,4.95
41,12,76,3,11.41
42,12,57,2,15.72
43,12,39,3,23.54
44,13,66,2,5.29
45,14,80,5,37.94
46,14,46,2,18.05
47,14,38,3,8.95
48,14,71,5,6.40
49,14,33,4,13.42
50,15,67,4,2.91
51,15,15,5,7.16
52,15,31,2,35.70
53,16,44,1,6.77
54,17,22,4,10.02
55,18,65,2,11.45
56,18,45,1,1.66
57,18,16,5,2.50
58,18,2,1,0.76
59,18,63,3,10.91
60,19,75,1,5.06
61,19,17,2,10.39
62,19,59,3,21.24
63,20,29,3,9.49
64,20,1,4,3.34
65,20,60,2,8.73
66,20,56,2,27.76
67,21,31,1,0.99
68,21,64,2,0.75
69,21,62,4,12.55
70,21,58,5,32.52
71,22,39,4,27.32
72,22,9,5,7.15
73,22,41,1,0.82
74,23,17,4,13.52
75,23,36,4,7.22
76,24,43,2,0.90
77,25,80,2,0.37
78,25,42,3,1.69
79,26,64,3,13.12
80,27,18,4,13.06
81,27,17,1,7.25
82,27,42,1,3.57
83,28,20,3,8.90
84,28,78,2,2.75
85,28,10,2,2.80
86,29,18,4,11.72
87,29,60,3,8.67
88,29,52,5,15.38
89,29,50,5,3.32
90,29,1,3,15.09
91,30,37,2,24.77
92,30,25,3,26.01
93,31,67,3,2.94
94,31,61,1,14.78
95,31,64,1,14.03
96,31,70,4,2.60
97,32,4,5,4.78
98,32,64,2,1.62
99,32,1,3,6.85
100,32,40,1,1.23
101,33,53,2,21.72
102,33,29,1,10.64
103,33,22,4,5.65
104,34,45,5,13.34
105,34,28,3,0.45
106,35,69,2,14.40
107,35,71,2,14.41
108,35,33,2,31.59
109,36,33,2,16.72
110,37,38,5,4.21
111,37,40,4,37.69
112,37,60,4,5.20
113,38,34,2,2.68
114,38,48,1,14.51
115,38,59,4,9.11
116,39,35,1,16.45
117,39,61,2,33.79
118,39,22,4,3.12
119,39,73,1,0.92
120,40,52,1,1.15
121,41,75,4,10.96
122,41,2,3,7.64
123,41,33,3,24.21
124,41,56,5,12.01
125,41,11,1,1.13
126,42,58,5,14.41
127,42,37,1,12.51
128,42,8,4,4.95
129,43,10,5,11.27
130,44,11,2,10.08
131,44,65,4,20.02
132,45,62,4,6.97
133,45,69,1,1.72
134,45,10,3,36.26
135,45,20,2,36.81
136,46,44,5,3.64
137,46,47,4,14.84
138,46,62,2,14.55
139,46,60,3,13.62
140,47,77,3,36.06
141,47,13,5,24.66
142,48,3,1,8.83
143,48,9,2,3.36
144,48,14,1,10.14
145,48,43,4,10.26
146,48,67,5,33.28
147,49,4,4,9.59
148,50,67,1,27.91
149,50,36,5,2.80
150,51,51,2,5.47
151,51,13,1,0.76
152,51,18,4,20.98
153,51,76,5,9.76
154,51,28,5,2.34
155,52,54,4,13.16
156,53,72,1,2.32
157,53,77,5,9.52
158,54,15,4,14.27
159,55,16,4,5.00
160,55,61,2,0.36
161,56,53,2,8.02
162,56,22,5,14.53
163,56,41,2,10.86
164,56,73,3,14.95
165,56,32,5,14.13
166,57,34,3,9.07
167,58,20,1,3.69
168,58,53,2,5.02
169,59,59,3,3.00
170,60,34,5,12.88
171,60,11,5,37.21
172,60,77,4,29.73
173,61,21,1,13.38
174,61,59,3,13.24
175,61,1,4,0.94
176,61,16,4,16.68
177,61,52,5,5.30
178,62,69,2,12.37
179,62,16,1,8.63
180,62,4,3,3.28
181,62,40,1,13.80
182,62,51,5,33.00
183,63,54,3,1.49
184,63,36,4,2.32
185,63,2,5,1.74
186,64,72,2,14.00
187,64,10,2,2.84
188,65,51,1,33.56
189,65,72,2,12.55
190,66,53,4,32.72
191,66,12,1,5.69
192,66,36,4,8.79
193,66,43,2,10.66
194,67,7,2,11.17
195,67,12,4,10.68
196,67,32,1,13.52
197,67,45,3,14.41
198,68,52,2,3.50
199,68,8,1,13.86
200,68,23,2,27.81
201,68,66,1,6.93
202,68,19,3,11.68
203,69,29,3,13.54
204,69,38,5,13.85
205,70,51,2,8.44
206,71,67,3,26.80
207,71,3,5,12.42
208,71,76,3,6.47
209,72,53,2,5.70
210,72,61,1,5.01
211,73,21,3,6.14
212,73,38,5,10.38
213,73,60,3,11.68
214,74,64,5,30.77
215,74,1,1,13.38
216,74,62,1,10.51
217,75,64,3,5.86
218,75,28,1,0.13
219,75,40,2,10.47
220,75,42,4,11.86
221,75,54,2,9.55
222,76,61,5,2.95
223,76,36,5,6.47
224,76,71,4,1.70
225,77,46,2,8.86
226,77,31,2,8.01
227,77,44,4,11.12
228,77,16,3,10.20
229,78,70,3,25.85
230,78,35,3,6.64
231,79,69,4,10.93
232,79,74,3,11.09
233,80,76,5,23.12
234,80,58,1,1.93
235,81,35,5,4.45
236,81,49,4,34.17
237,81,39,5,13.68
238,82,48,4,7.25
239,82,11,5,10.87
240,82,54,1,7.29
241,82,67,2,2.37
242,82,36,5,12.05
243,83,56,2,6.15
244,83,59,2,2.10
245,83,62,2,1.31
246,83,73,2,15.94
247,84,72,2,3.47
248,84,7,3,11.91
249,84,57,3,10.39
250,85,12,4,0.91
251,86,14,2,8.57
252,86,44,5,39.83
253,86,21,5,12.95
254,86,19,4,11.46
255,87,55,2,32.74
256,88,57,4,2.75
257,88,1,5,10.49
258,88,12,3,22.30
259,89,72,2,9.60
260,89,45,1,13.68
261,89,60,1,6.34
262,90,79,5,19.45
263,90,56,5,12.34
264,90,11,3,1.82
265,90,4,3,6.10
266,90,1,4,18.93
267,91,32,4,2.32
268,91,54,3,36.15
269,91,68,4,7.74
270,91,8,3,6.69
271,91,70,2,0.00
272,92,53,3,0.45
273,92,11,5,29.41
274,92,4,2,27.09
275,92,29,2,11.37
276,93,57,5,7.39
277,94,37,1,14.88
278,95,76,1,10.36
279,96,34,2,13.12
280,97,63,3,6.03
281,97,11,1,37.88
282,97,12,1,6.67
283,97,17,1,0.77
284,97,58,4,9.85
285,98,66,2,16.04
286,98,29,5,11.60
287,98,24,2,9.10
288,98,28,5,20.68
289,99,28,4,8.43
290,100,5,4,12.20
291,100,21,5,5.33
292,101,5,4,8.06
293,102,24,2,1.97
294,103,6,5,0.03
295,104,67,5,10.20
296,104,3,5,10.75
297,104,72,4,2.33
298,104,42,1,14.79
299,104,11,1,12.37
300,105,42,1,25.30
301,105,27,5,17.78
302,105,36,2,38.76
303,105,43,3,0.56
304,105,68,4,13.27
305,106,12,5,0.98
306,106,24,4,12.38
307,106,1,2,2.43
308,107,13,4,4.53
309,108,1,2,8.30
310,108,59,3,9.57
311,108,77,1,4.84
312,108,13,1,2.43
313,108,41,2,6.87
314,109,80,2,7.86
315,109,35,4,20.26
316,110,55,4,6.08
317,110,69,2,5.96
318,111,47,3,12.89
319,111,55,1,3.72
320,111,30,3,4.38
321,112,33,1,10.53
322,113,11,3,1.68
323,113,7,5,6.24
324,113,53,3,5.57
325,113,13,3,8.13
326,114,31,3,35.81
327,115,61,4,0.07
328,115,1,4,1.51
329,115,72,4,9.34
330,115,69,1,1.00
331,115,18,3,18.87
332,116,64,2,2.81
333,117,16,4,13.33
334,117,57,4,3.95
335,117,6,3,5.97
336,118,60,1,1.07
337,118,77,5,0.75
338,118,22,5,11.72
339,119,33,3,3.51
340,120,52,5,38.52
341,120,16,1,31.89
342,120,48,1,13.84
343,121,69,2,2.66
344,122,79,2,1.14
345,122,18,2,22.42
346,122,12,3,7.87
347,122,72,4,8.27
348,123,68,3,17.92
349,123,61,2,5.88
350,124,24,4,4.92
351,124,54,5,34.41
352,124,14,3,0.76
353,124,6,5,1.35
354,124,18,1,12.32
355,125,32,3,7.91
356,125,80,2,7.05
357,125,2,3,7.80
358,126,27,5,3.06
359,126,2,2,2.96
360,126,75,4,10.42
361,126,60,5,10.35
362,126,51,3,0.25
363,127,19,3,19.07
364,127,64,2,14.97
365,128,75,5,39.32
366,128,49,4,12.31
367,128,28,5,12.34
368,129,10,2,16.78
369,129,62,5,5.72
370,129,78,3,3.77
371,129,13,4,35.96
372,129,34,5,9.93
373,130,13,2,25.48
374,130,39,5,37.06
375,130,54,1,10.61
376,130,51,1,3.73
377,131,40,2,1.04
378,132,18,1,9.51
379,132,62,5,38.63
380,132,70,5,0.63
381,133,65,1,5.81
382,133,39,1,13.99
383,133,22,2,8.10
384,134,32,5,4.83
385,134,29,4,8.33
386,135,40,4,1.81
387,135,12,5,4.74
388,135,31,3,30.89
389,135,11,2,8.28
390,136,32,5,17.63
391,136,74,2,9.58
392,136,33,1,11.44
393,136,51,1,13.30
394,136,52,1,13.01
395,137,71,5,28.59
396,137,80,2,9.15
397,137,43,1,13.20
398,137,22,2,5.12
399,138,75,3,9.23
400,138,27,1,0.96
401,138,79,1,5.40
402,139,79,3,18.05
403,139,22,4,28.53
404,140,48,4,8.40
405,140,76,2,6.83
406,140,42,4,0.61
407,140,11,2,2.64
408,141,62,3,13.88
409,141,41,5,0.99
410,141,75,5,0.43
411,142,56,3,6.63
412,142,52,3,2.27
413,142,45,5,2.51
414,142,44,2,10.90
415,142,21,2,22.55
416,143,19,1,2.46
417,143,76,2,9.37
418,144,17,1,10.18
419,144,35,1,0.95
420,145,58,3,3.61
421,145,25,1,11.57
422,145,20,3,10.18
423,146,39,2,2.47
424,146,29,4,3.97
425,147,38,1,9.49
426,147,24,3,3.39
427,147,35,2,1.46
428,148,7,2,13.86
429,148,26,1,8.10
430,149,48,3,14.15
431,149,9,1,20.86
432,149,63,1,11.13
433,149,50,5,28.57
434,149,3,3,3.09
435,150,76,3,1.52
436,150,22,4,27.51
437,151,61,1,7.63
438,151,56,1,35.24
439,151,30,5,2.94
440,151,74,1,13.07
441,151,37,2,29.68
442,152,40,3,1.83
443,152,48,5,6.94
444,152,78,4,5.85
445,152,27,1,28.06
446,153,64,3,10.42
447,153,47,4,8.20
448,154,43,4,20.12
449,155,52,4,4.30
450,155,27,5,7.90
451,155,38,3,14.06
452,156,19,5,11.17
453,156,59,4,8.60
454,156,64,1,1.67
455,156,73,4,1.37
456,156,2,4,5.68
457,157,51,4,1.26
458,158,77,5,0.00
459,158,64,3,4.25
460,158,65,2,8.12
461,158,34,3,6.62
462,158,10,4,25.80
463,159,40,1,6.41
464,159,58,1,3.25
465,159,44,1,6.32
466,159,61,1,21.26
467,159,43,5,0.22
468,160,12,4,8.88
469,160,54,3,13.98
470,160,40,5,7.43
471,160,25,5,12.57
472,161,39,1,10.33
473,161,49,2,10.90
474,161,46,4,7.04
475,161,69,1,10.00
476,161,32,2,6.53
477,162,20,5,13.09
478,162,35,5,0.13
479,162,44,3,1.79
480,162,61,2,1.75
481,162,14,2,2.75
482,163,47,5,7.58
483,163,68,2,17.32
484,163,2,2,3.70
485,163,32,4,12.96
486,163,73,5,19.30
487,164,58,2,11.68
488,164,28,2,0.07
489,164,63,1,14.31
490,164,33,1,11.16
491,164,51,1,8.42
492,165,49,5,11.29
493,165,80,5,3.72
494,165,35,4,18.22
495,165,66,5,10.11
496,165,44,5,34.96
497,166,48,3,29.34
498,166,59,5,3.75
499,166,33,4,11.79
500,166,18,2,1.57
501,166,13,2,11.79
502,167,25,3,0.01
503,167,29,2,4.29
504,168,5,5,4.02
505,168,46,2,14.67
506,169,71,2,6.18
507,169,7,2,4.32
508,169,3,1,1.25
509,169,34,1,10.61
510,170,43,5,14.59
511,171,53,4,37.33
512,171,71,3,8.61
513,171,65,1,10.24
514,171,11,3,0.94
515,171,43,1,3.69
516,172,17,1,2.62
517,172,6,3,1.01
518,172,59,5,9.01
519,172,55,3,9.86
520,172,56,3,3.29
521,173,55,4,4.93
522,173,12,1,7.15
523,173,26,2,0.49
524,173,76,1,30.12
525,173,33,1,11.05
526,174,62,4,2.23
527,175,23,3,5.31
528,175,42,2,1.81
529,175,17,2,10.12
530,176,42,3,36.56
531,176,36,5,0.31
532,176,46,2,4.78
533,177,61,4,10.60
534,178,3,1,8.45
535,178,4,5,10.02
536,178,14,1,4.39
537,178,74,4,2.41
538,178,40,3,9.55
539,179,50,2,10.61
540,179,70,4,7.96
541,180,80,2,7.29
542,180,71,3,5.76
543,180,5,2,6.85
544,180,70,1,0.70
545,181,41,5,8.71
546,182,77,3,23.15
547,183,33,4,2.26
548,183,59,5,13.05
549,183,2,5,13.59
550,183,79,1,1.74
551,184,80,3,6.19
552,184,14,1,7.80
553,184,73,3,4.84
554,184,30,5,9.88
555,184,57,2,1.07
556,185,3,5,9.51
557,185,56,2,0.10
558,185,8,4,13.02
559,186,58,4,3.36
560,186,67,4,8.57
561,186,57,1,10.64
562,187,15,2,13.91
563,187,46,3,8.55
564,188,2,4,4.69
565,188,77,1,1.72
566,188,62,2,8.12
567,188,42,4,2.66
568,188,19,1,18.26
569,189,45,1,9.30
570,189,33,5,3.88
571,189,49,2,13.82
572,190,51,2,5.77
573,190,33,4,14.52
574,191,4,3,4.49
575,192,46,2,29.45
576,193,33,3,3.00
577,194,48,1,13.45
578,194,13,4,12.04
579,194,75,2,10.02
580,194,2,3,13.62
581,194,43,2,17.29
582,195,6,1,5.97
583,196,51,1,4.89
584,196,65,3,13.63
585,196,47,3,5.15
586,197,19,3,12.52
587,197,38,2,1.03
588,198,41,2,13.65
589,199,34,5,0.93
590,199,65,3,13.90
591,199,30,4,3.40
592,199,59,1,13.87
593,199,19,3,12.59
594,200,4,1,5.13
595,201,62,1,9.58
596,201,12,3,20.74
597,202,15,3,7.34
598,202,17,1,4.84
599,203,29,4,0.11
600,203,61,2,5.57
601,203,11,3,8.38
602,203,54,3,1.66
603,203,32,1,3.51
604,204,43,4,28.05
605,204,15,2,18.34
606,204,79,4,4.92
607,205,76,3,8.77
608,205,30,5,6.01
609,205,22,1,7.30
610,205,13,5,23.86
611,205,17,3,0.38
612,206,46,1,27.02
613,206,3,3,13.89
614,206,67,3,27.92
615,206,20,5,37.31
616,206,38,2,9.40
617,207,59,5,8.21
618,207,35,4,26.30
619,208,18,1,9.05
620,208,67,2,2.52
621,208,68,3,12.00
622,209,22,3,5.80
623,209,31,3,9.25
624,209,13,2,5.60
