"Order_ID","Customer_ID","Order_Date","Order_Status","Payment_Method"
1,406,"2024-03-24",Completed,PayPal
2,1,"2024-01-13",Completed,Credit Card
3,302,"2025-01-01",Completed,Cash
4,115,"2024-10-25",Completed,Debit Card
5,134,"2025-03-14",Completed,Debit Card
6,105,"2024-07-18",Completed,Debit Card
7,228,"2025-05-09",Completed,Debit Card
8,62,"2024-08-31",Completed,Cash
9,266,"2025-03-03",Completed,Debit Card
10,84,"2024-02-28",Completed,Cash
11,251,"2024-02-26",Completed,Credit Card
12,313,"2025-03-29",Completed,Credit Card
13,90,"2025-04-27",Cancelled,Credit Card
14,52,"2025-06-29",Completed,Credit Card
15,404,"2024-07-06",Completed,PayPal
16,370,"2024-01-13",Completed,Credit Card
17,131,"2025-07-21",Completed,Credit Card
18,444,"2024-12-14",Completed,Credit Card
19,111,"2024-05-23",Completed,PayPal
20,464,"2025-03-18",Completed,Cash
21,57,"2025-06-07",Completed,PayPal
22,331,"2024-06-13",Completed,Credit Card
23,10,"2025-03-21",Completed,Debit Card
24,99,"2025-03-31",Completed,Credit Card
25,203,"2024-10-17",Cancelled,Cash
26,43,"2025-01-01",Completed,Credit Card
27,229,"2024-06-05",Completed,UPI
28,117,"2025-06-21",Cancelled,PayPal
29,50,"2025-07-23",Completed,PayPal
30,481,"2025-07-22",Completed,PayPal
31,491,"2025-03-02",Completed,Credit Card
32,482,"2024-01-25",Completed,Credit Card
33,78,"2024-07-31",Completed,Credit Card
34,191,"2024-09-14",Completed,Credit Card
35,164,"2025-07-09",Completed,PayPal
36,163,"2024-11-12",Completed,Debit Card
37,209,"2024-11-06",Completed,Cash
38,256,"2024-03-25",Returned,Cash
39,243,"2025-04-04",Completed,Credit Card
40,146,"2024-07-13",Completed,Credit Card
41,490,"2024-02-23",Completed,Debit Card
42,490,"2025-07-25",Completed,Credit Card
43,166,"2024-04-20",Completed,PayPal
44,111,"2024-01-10",Completed,PayPal
45,267,"2024-02-15",Completed,PayPal
46,185,"2024-09-19",Returned,Debit Card
47,494,"2024-02-29",Completed,PayPal
48,215,"2025-05-02",Returned,Debit Card
49,20,"2024-10-23",Completed,UPI
50,63,"2024-07-06",Completed,PayPal
51,38,"2024-01-02",Cancelled,PayPal
52,192,"2024-10-04",Completed,Credit Card
53,159,"2024-03-28",Completed,PayPal
54,429,"2025-07-20",Completed,Credit Card
55,446,"2024-06-17",Completed,Debit Card
56,71,"2024-10-01",Completed,Debit Card
57,473,"2024-01-11",Completed,Credit Card
58,293,"2024-03-16",Completed,Credit Card
59,154,"2024-04-30",Completed,Credit Card
60,204,"2024-01-30",Completed,PayPal
61,221,"2025-02-24",Completed,PayPal
62,86,"2025-07-01",Completed,Cash
63,434,"2025-07-24",Completed,PayPal
64,7,"2024-06-02",Completed,Debit Card
65,35,"2025-04-01",Completed,PayPal
66,137,"2024-10-18",Completed,Debit Card
67,72,"2024-01-27",Completed,Credit Card
68,31,"2024-02-22",Completed,UPI
69,192,"2024-11-13",Completed,Cash
70,189,"2024-09-02",Completed,Credit Card
71,63,"2024-01-05",Completed,PayPal
72,406,"2025-06-22",Completed,Credit Card
73,442,"2025-02-26",Completed,Cash
74,360,"2024-10-17",Completed,Debit Card
75,262,"2025-07-25",Completed,Credit Card
76,474,"2025-07-16",Completed,PayPal
77,176,"2025-07-17",Completed,Debit Card
78,214,"2024-05-29",Completed,Credit Card
79,8,"2025-05-25",Completed,PayPal
80,354,"2024-10-19",Completed,PayPal
81,47,"2025-02-24",Completed,Debit Card
82,333,"2025-05-12",Completed,PayPal
83,392,"2024-04-04",Completed,Credit Card
84,109,"2024-09-16",Completed,Credit Card
85,307,"2024-03-15",Completed,PayPal
86,152,"2024-06-10",Completed,Credit Card
87,200,"2024-08-27",Completed,Debit Card
88,265,"2025-05-10",Completed,Cash
89,125,"2025-05-14",Completed,PayPal
90,399,"2024-08-13",Completed,Debit Card
91,198,"2024-07-09",Completed,Debit Card
92,231,"2024-11-03",Completed,Cash
93,408,"2025-06-11",Completed,Cash
94,114,"2025-07-19",Cancelled,Credit Card
95,227,"2024-05-11",Returned,Debit Card
96,497,"2024-04-17",Completed,Credit Card
97,200,"2025-02-13",Completed,Credit Card
98,58,"2024-06-23",Completed,Credit Card
99,143,"2024-04-25",Completed,Debit Card
100,478,"2024-01-18",Completed,PayPal
101,380,"2024-08-21",Completed,Cash
102,405,"2024-08-14",Completed,Debit Card
103,127,"2024-11-22",Completed,Debit Card
104,420,"2024-04-25",Completed,Credit Card
105,197,"2025-02-17",Completed,Credit Card
106,398,"2025-01-28",Completed,Credit Card
107,441,"2024-09-24",Completed,UPI
108,105,"2024-04-14",Completed,Credit Card
109,470,"2024-10-20",Completed,PayPal
